1 1 1667 23.035246
2 2 275 9.356026
3 3 752 15.471556
4 4 248 8.884866
5 6 719 15.128278
6 9 678 14.690613
7 12 520 12.865502
8 14 1015 17.974552
9 18 416 11.507255
10 21 615 13.991447
11 30 1174 19.331213
12 33 1051 18.290536
13 35 319 10.076748
14 40 355 10.630146
15 48 348 10.524820
16 51 296 9.706685
17 53 1733 23.486827
18 56 370 10.852403
19 58 136 6.579525
20 59 404 11.340070
21 63 1028 18.089294
22 65 596 13.773623
23 70 1094 18.660949
24 87 320 10.092530
25 89 1024 18.054067
26 92 956 17.444319
27 94 583 13.622579
28 97 595 13.762063
29 101 1439 21.402054
30 102 368 10.823033
31 107 284 9.507892
32 110 323 10.139728
33 112 300 9.772050
34 119 622 14.070847
35 124 810 16.057117
